YEAR,STATE,ITEM,VALUE
2017,ARKANSAS,TOTALPRICE,3885000
2017,CALIFORNIA,LBPERCOL,41
2017,CALIFORNIA,NUMCOL,335000
2017,CALIFORNIA,TOTALLB,13735000
2017,CALIFORNIA,TOTALPRICE,29668000
2017,COLORADO,LBPERCOL,43
2017,COLORADO,NUMCOL,33000
2017,COLORADO,TOTALLB,1419000
2017,COLORADO,TOTALPRICE,2966000
2017,FLORIDA,LBPERCOL,43
2017,FLORIDA,NUMCOL,205000
2017,FLORIDA,TOTALLB,8815000
2017,FLORIDA,TOTALPRICE,20892000
2017,GEORGIA,LBPERCOL,32
2017,GEORGIA,NUMCOL,99000
2017,GEORGIA,TOTALLB,3168000
2017,GEORGIA,TOTALPRICE,9504000
2017,HAWAII,LBPERCOL,131
2017,HAWAII,NUMCOL,19000
2017,HAWAII,TOTALLB,2489000
2017,HAWAII,TOTALPRICE,3808000
2017,IDAHO,LBPERCOL,44
2017,IDAHO,NUMCOL,95000
2017,IDAHO,TOTALLB,4180000
2017,IDAHO,TOTALPRICE,7482000
2017,ILLINOIS,LBPERCOL,46
2017,ILLINOIS,NUMCOL,11000
2017,ILLINOIS,TOTALLB,506000
2017,ILLINOIS,TOTALPRICE,2576000
2017,INDIANA,LBPERCOL,52
2017,INDIANA,NUMCOL,8000
2017,INDIANA,TOTALLB,416000
2017,INDIANA,TOTALPRICE,1502000
2017,IOWA,LBPERCOL,58
2017,IOWA,NUMCOL,35000
2017,IOWA,TOTALLB,2030000
2017,IOWA,TOTALPRICE,4588000
2017,KANSAS,LBPERCOL,79
2017,KANSAS,NUMCOL,7000
2017,KANSAS,TOTALLB,553000
2017,KANSAS,TOTALPRICE,2229000
2017,KENTUCKY,LBPERCOL,38
2017,KENTUCKY,NUMCOL,5000
2017,KENTUCKY,TOTALLB,190000
2017,KENTUCKY,TOTALPRICE,785000
2017,LOUISIANA,LBPERCOL,81
2017,LOUISIANA,NUMCOL,43000
2017,LOUISIANA,TOTALLB,3483000
2017,LOUISIANA,TOTALPRICE,6722000
2017,MAINE,LBPERCOL,33
2017,MAINE,NUMCOL,12000
2017,MAINE,TOTALLB,396000
2017,MAINE,TOTALPRICE,1980000
2017,MICHIGAN,LBPERCOL,45
2017,MICHIGAN,NUMCOL,87000
2017,MICHIGAN,TOTALLB,3915000
2017,MICHIGAN,TOTALPRICE,9474000
2017,MINNESOTA,LBPERCOL,62
2017,MINNESOTA,NUMCOL,126000
2017,MINNESOTA,TOTALLB,7812000
2017,MINNESOTA,TOTALPRICE,15077000
2017,MISSISSIPPI,LBPERCOL,86
2017,MISSISSIPPI,NUMCOL,18000
2017,MISSISSIPPI,TOTALLB,1548000
2017,MISSISSIPPI,TOTALPRICE,2817000
2017,MISSOURI,LBPERCOL,65
2017,MISSOURI,NUMCOL,8000
2017,MISSOURI,TOTALLB,520000
2017,MISSOURI,TOTALPRICE,1924000
2017,MONTANA,LBPERCOL,72
2017,MONTANA,NUMCOL,145000
2017,MONTANA,TOTALLB,10440000
2017,MONTANA,TOTALPRICE,23386000
2017,NEBRASKA,LBPERCOL,63
2017,NEBRASKA,NUMCOL,42000
2017,NEBRASKA,TOTALLB,2646000
2017,NEBRASKA,TOTALPRICE,5054000
2017,NEW JERSEY,LBPERCOL,28
2017,NEW JERSEY,NUMCOL,13000
2017,NEW JERSEY,TOTALLB,364000
2017,NEW JERSEY,TOTALPRICE,3181000
2017,NEW YORK,LBPERCOL,56
2017,NEW YORK,NUMCOL,57000
2017,NEW YORK,TOTALLB,3192000
2017,NEW YORK,TOTALPRICE,9672000
2017,NORTH CAROLINA,LBPERCOL,41
2017,NORTH CAROLINA,NUMCOL,11000
2017,NORTH CAROLINA,TOTALLB,451000
2017,NORTH CAROLINA,TOTALPRICE,2066000
2017,NORTH DAKOTA,LBPERCOL,74
2017,NORTH DAKOTA,NUMCOL,455000
2017,NORTH DAKOTA,TOTALLB,33670000
2017,NORTH DAKOTA,TOTALPRICE,64310000
2017,OHIO,LBPERCOL,73
2017,OHIO,NUMCOL,15000
2017,OHIO,TOTALLB,1095000
2017,OHIO,TOTALPRICE,3548000
2017,OREGON,LBPERCOL,40
2017,OREGON,NUMCOL,78000
2017,OREGON,TOTALLB,3120000
2017,OREGON,TOTALPRICE,6552000
2017,OTHER STATES,LBPERCOL,43
2017,OTHER STATES,NUMCOL,35000
2017,OTHER STATES,TOTALLB,1518000
2017,OTHER STATES,TOTALPRICE,6725000
2017,PENNSYLVANIA,LBPERCOL,46
2017,PENNSYLVANIA,NUMCOL,16000
2017,PENNSYLVANIA,TOTALLB,736000
2017,PENNSYLVANIA,TOTALPRICE,2583000
2017,SOUTH CAROLINA,LBPERCOL,34
2017,SOUTH CAROLINA,NUMCOL,16000
2017,SOUTH CAROLINA,TOTALLB,544000
2017,SOUTH CAROLINA,TOTALPRICE,1469000
2017,SOUTH DAKOTA,LBPERCOL,57
2017,SOUTH DAKOTA,NUMCOL,255000
2017,SOUTH DAKOTA,TOTALLB,14535000
2017,SOUTH DAKOTA,TOTALPRICE,30087000
2017,TENNESSEE,LBPERCOL,41
2017,TENNESSEE,NUMCOL,7000
2017,TENNESSEE,TOTALLB,287000
2017,TENNESSEE,TOTALPRICE,1312000
2017,TEXAS,LBPERCOL,66
2017,TEXAS,NUMCOL,120000
2017,TEXAS,TOTALLB,7920000
2017,TEXAS,TOTALPRICE,17186000
2017,UTAH,LBPERCOL,31
2017,UTAH,NUMCOL,27000
2017,UTAH,TOTALLB,837000
2017,UTAH,TOTALPRICE,1741000
2017,VERMONT,LBPERCOL,54
2017,VERMONT,NUMCOL,7000
2017,VERMONT,TOTALLB,378000
2017,VERMONT,TOTALPRICE,1520000
2017,VIRGINIA,LBPERCOL,35
2017,VIRGINIA,NUMCOL,6000
2017,VIRGINIA,TOTALLB,210000
2017,VIRGINIA,TOTALPRICE,1212000
2017,WASHINGTON,LBPERCOL,45
2017,WASHINGTON,NUMCOL,77000
2017,WASHINGTON,TOTALLB,3465000
2017,WASHINGTON,TOTALPRICE,8455000
2017,WEST VIRGINIA,LBPERCOL,40
2017,WEST VIRGINIA,NUMCOL,6000
2017,WEST VIRGINIA,TOTALLB,240000
2017,WEST VIRGINIA,TOTALPRICE,943000
2017,WISCONSIN,LBPERCOL,56
2017,WISCONSIN,NUMCOL,53000
2017,WISCONSIN,TOTALLB,2968000
2017,WISCONSIN,TOTALPRICE,8370000
2017,WYOMING,LBPERCOL,53
2017,WYOMING,NUMCOL,39000
2017,WYOMING,TOTALLB,2067000
2017,WYOMING,TOTALPRICE,3328000
2016,ALABAMA,LBPERCOL,52
2016,ALABAMA,NUMCOL,7000
2016,ALABAMA,TOTALLB,364000
2016,ALABAMA,TOTALPRICE,1256000
2016,ARIZONA,LBPERCOL,46
2016,ARIZONA,NUMCOL,27000
2016,ARIZONA,TOTALLB,1242000
2016,ARIZONA,TOTALPRICE,2447000
2016,ARKANSAS,LBPERCOL,69
2016,ARKANSAS,NUMCOL,24000
2016,ARKANSAS,TOTALLB,1656000
2016,ARKANSAS,TOTALPRICE,3064000
2016,CALIFORNIA,LBPERCOL,36
2016,CALIFORNIA,NUMCOL,310000
2016,CALIFORNIA,TOTALLB,11160000
2016,CALIFORNIA,TOTALPRICE,22766000
2016,COLORADO,LBPERCOL,40
2016,COLORADO,NUMCOL,32000
2016,COLORADO,TOTALLB,1280000
2016,COLORADO,TOTALPRICE,2867000
2016,FLORIDA,LBPERCOL,50
2016,FLORIDA,NUMCOL,215000
2016,FLORIDA,TOTALLB,10750000
2016,FLORIDA,TOTALPRICE,26123000
2016,GEORGIA,LBPERCOL,39
2016,GEORGIA,NUMCOL,96000
2016,GEORGIA,TOTALLB,3744000
2016,GEORGIA,TOTALPRICE,10071000
2016,HAWAII,LBPERCOL,113
2016,HAWAII,NUMCOL,18000
2016,HAWAII,TOTALLB,2034000
2016,HAWAII,TOTALPRICE,4699000
2016,IDAHO,LBPERCOL,34
2016,IDAHO,NUMCOL,97000
2016,IDAHO,TOTALLB,3298000
2016,IDAHO,TOTALPRICE,6002000
2016,ILLINOIS,LBPERCOL,48
2016,ILLINOIS,NUMCOL,10000
2016,ILLINOIS,TOTALLB,480000
2016,ILLINOIS,TOTALPRICE,2602000
2016,INDIANA,LBPERCOL,62
2016,INDIANA,NUMCOL,8000
2016,INDIANA,TOTALLB,496000
2016,INDIANA,TOTALPRICE,1716000
2016,IOWA,LBPERCOL,48
2016,IOWA,NUMCOL,37000
2016,IOWA,TOTALLB,1776000
2016,IOWA,TOTALPRICE,3694000
2016,KANSAS,LBPERCOL,48
2016,KANSAS,NUMCOL,7000
2016,KANSAS,TOTALLB,336000
2016,KANSAS,TOTALPRICE,1021000
2016,KENTUCKY,LBPERCOL,46
2016,KENTUCKY,NUMCOL,5000
2016,KENTUCKY,TOTALLB,230000
2016,KENTUCKY,TOTALPRICE,925000
2016,LOUISIANA,LBPERCOL,86
2016,LOUISIANA,NUMCOL,50000
2016,LOUISIANA,TOTALLB,4300000
2016,LOUISIANA,TOTALPRICE,8342000
2016,MAINE,LBPERCOL,34
2016,MAINE,NUMCOL,12000
2016,MAINE,TOTALLB,408000
2016,MAINE,TOTALPRICE,1379000
2016,MICHIGAN,LBPERCOL,60
2016,MICHIGAN,NUMCOL,89000
2016,MICHIGAN,TOTALLB,5340000
2016,MICHIGAN,TOTALPRICE,12656000
2016,MINNESOTA,LBPERCOL,59
2016,MINNESOTA,NUMCOL,124000
2016,MINNESOTA,TOTALLB,7316000
2016,MINNESOTA,TOTALPRICE,12364000
2016,MISSISSIPPI,LBPERCOL,85
2016,MISSISSIPPI,NUMCOL,19000
2016,MISSISSIPPI,TOTALLB,1615000
2016,MISSISSIPPI,TOTALPRICE,2794000
2016,MISSOURI,LBPERCOL,62
2016,MISSOURI,NUMCOL,8000
2016,MISSOURI,TOTALLB,496000
2016,MISSOURI,TOTALPRICE,1146000
2016,MONTANA,LBPERCOL,77
2016,MONTANA,NUMCOL,159000
2016,MONTANA,TOTALLB,12243000
2016,MONTANA,TOTALPRICE,21670000
2016,NEBRASKA,LBPERCOL,46
2016,NEBRASKA,NUMCOL,48000
2016,NEBRASKA,TOTALLB,2208000
2016,NEBRASKA,TOTALPRICE,4217000
2016,NEW JERSEY,LBPERCOL,27
2016,NEW JERSEY,NUMCOL,12000
2016,NEW JERSEY,TOTALLB,324000
2016,NEW JERSEY,TOTALPRICE,2297000
2016,NEW YORK,LBPERCOL,57
2016,NEW YORK,NUMCOL,64000
2016,NEW YORK,TOTALLB,3648000
2016,NEW YORK,TOTALPRICE,11637000
2016,NORTH CAROLINA,LBPERCOL,37
2016,NORTH CAROLINA,NUMCOL,12000
2016,NORTH CAROLINA,TOTALLB,444000
2016,NORTH CAROLINA,TOTALPRICE,2122000
2016,NORTH DAKOTA,LBPERCOL,78
2016,NORTH DAKOTA,NUMCOL,485000
2016,NORTH DAKOTA,TOTALLB,37830000
2016,NORTH DAKOTA,TOTALPRICE,69986000
2016,OHIO,LBPERCOL,79
2016,OHIO,NUMCOL,15000
2016,OHIO,TOTALLB,1185000
2016,OHIO,TOTALPRICE,4657000
2016,OREGON,LBPERCOL,35
2016,OREGON,NUMCOL,74000
2016,OREGON,TOTALLB,2590000
2016,OREGON,TOTALPRICE,4947000
2016,OTHER STATES,LBPERCOL,43
2016,OTHER STATES,NUMCOL,37000
2016,OTHER STATES,TOTALLB,1601000
2016,OTHER STATES,TOTALPRICE,6788000
2016,PENNSYLVANIA,LBPERCOL,50
2016,PENNSYLVANIA,NUMCOL,19000
2016,PENNSYLVANIA,TOTALLB,950000
2016,PENNSYLVANIA,TOTALPRICE,2879000
2016,SOUTH CAROLINA,LBPERCOL,45
2016,SOUTH CAROLINA,NUMCOL,16000
2016,SOUTH CAROLINA,TOTALLB,720000
2016,SOUTH CAROLINA,TOTALPRICE,3290000
2016,SOUTH DAKOTA,LBPERCOL,71
2016,SOUTH DAKOTA,NUMCOL,280000
2016,SOUTH DAKOTA,TOTALLB,19880000
2016,SOUTH DAKOTA,TOTALPRICE,34989000
2016,TENNESSEE,LBPERCOL,55
2016,TENNESSEE,NUMCOL,6000
2016,TENNESSEE,TOTALLB,330000
2016,TENNESSEE,TOTALPRICE,1610000
2016,TEXAS,LBPERCOL,70
2016,TEXAS,NUMCOL,133000
2016,TEXAS,TOTALLB,9310000
2016,TEXAS,TOTALPRICE,19365000
2016,UTAH,LBPERCOL,32
2016,UTAH,NUMCOL,31000
2016,UTAH,TOTALLB,992000
2016,UTAH,TOTALPRICE,1915000
2016,VERMONT,LBPERCOL,52
2016,VERMONT,NUMCOL,6000
2016,VERMONT,TOTALLB,312000
2016,VERMONT,TOTALPRICE,1136000
2016,VIRGINIA,LBPERCOL,38
2016,VIRGINIA,NUMCOL,5000
2016,VIRGINIA,TOTALLB,190000
2016,VIRGINIA,TOTALPRICE,1112000
2016,WASHINGTON,LBPERCOL,35
2016,WASHINGTON,NUMCOL,84000
2016,WASHINGTON,TOTALLB,2940000
2016,WASHINGTON,TOTALPRICE,5851000
2016,WEST VIRGINIA,LBPERCOL,32
2016,WEST VIRGINIA,NUMCOL,5000
2016,WEST VIRGINIA,TOTALLB,160000
2016,WEST VIRGINIA,TOTALPRICE,627000
