LAT,LON,YEAR,MONTH,STATE,HUMIDITY,PRECIP,RADIATION,SFCWIND,TEMP
27.25,-81.75,2022,8,FLORIDA,86.34917,267.83838,233.43839,1.94324,25.316284
27.25,-81.75,2022,9,FLORIDA,81.67622,84.431571,212.64098,2.3016393,23.910248
27.25,-81.75,2022,10,FLORIDA,80.91694,75.557706,162.59175,3.0884995,21.898438
27.25,-81.75,2022,11,FLORIDA,74.211464,0.55518537,180.12009,2.4344819,16.531128
27.25,-81.75,2022,12,FLORIDA,78.50561,77.614881,135.65053,2.8809915,13.430481
27.25,-81.75,2023,1,FLORIDA,76.30121,27.621843,152.32121,3.3060477,13.540009
27.25,-81.75,2023,2,FLORIDA,75.07838,65.370735,179.30643,3.457502,15.048401
27.25,-81.75,2023,3,FLORIDA,69.02457,17.3053641,241.78754,2.7241595,18.529877
27.25,-81.75,2023,4,FLORIDA,72.51713,108.132606,228.15047,3.1352813,20.339539
27.25,-81.75,2023,5,FLORIDA,71.26944,103.013406,263.6518,2.487908,23.536652
27.25,-81.75,2023,6,FLORIDA,73.67788,152.64558,242.33974,2.6006737,24.81543
27.25,-81.75,2023,7,FLORIDA,85.927055,229.07715,245.57936,2.3987725,24.691833
27.25,-81.75,2023,8,FLORIDA,84.31251,176.64186,235.92061,1.9056917,25.558533
27.25,-81.75,2023,9,FLORIDA,81.4383,98.479035,241.94037,2.0676749,24.390198
27.25,-81.75,2023,10,FLORIDA,82.0619,134.81637,143.7039,3.5263288,22.812286
27.25,-81.75,2023,11,FLORIDA,82.67436,90.670881,145.55937,2.718276,17.825562
27.25,-81.75,2023,12,FLORIDA,82.029655,56.374128,128.78973,2.997708,15.695496
27.25,-81.75,2024,1,FLORIDA,81.398254,109.122048,140.04518,3.2643685,15.016144
27.25,-81.75,2024,2,FLORIDA,81.9431,85.566486,170.64102,3.3908262,16.513885
27.25,-81.75,2024,3,FLORIDA,77.71331,107.738979,214.64702,3.1040146,15.700134
27.25,-81.75,2024,4,FLORIDA,72.9677,62.39937,256.71436,3.2437103,20.068512
27.25,-81.75,2024,5,FLORIDA,75.571495,66.024369,257.09015,2.197525,22.7547
27.25,-81.75,2024,6,FLORIDA,75.58524,143.15424,261.20633,2.8740382,25.10556
27.25,-81.75,2024,7,FLORIDA,83.27098,304.98453,250.92442,1.8933711,26.258575
27.25,-81.75,2024,8,FLORIDA,83.70051,152.214459,252.14978,2.0763192,25.714935
27.25,-81.75,2024,9,FLORIDA,77.1813,64.840794,241.22997,2.2233024,25.336823
27.25,-81.75,2024,10,FLORIDA,82.647804,104.15892,155.83032,3.2714503,22.540466
27.25,-81.75,2024,11,FLORIDA,71.08147,9.017151,168.97725,3.0728972,16.36847
27.25,-81.75,2024,12,FLORIDA,76.56346,64.46631,112.02385,2.5586438,17.75827
27.25,-81.75,2025,1,FLORIDA,78.90212,53.525175,159.03825,3.119021,13.65332
27.25,-81.75,2025,2,FLORIDA,77.18079,84.96753,158.8358,3.2450168,15.048737
27.25,-81.75,2025,3,FLORIDA,68.540634,18.0184989,259.71185,3.2940872,16.164429
27.25,-81.75,2025,4,FLORIDA,69.483696,39.175587,227.72324,2.725437,21.664642
27.25,-81.75,2025,5,FLORIDA,66.80422,100.362024,223.0074,2.543583,24.218689
27.25,-81.75,2025,6,FLORIDA,86.701065,254.49426,240.77055,2.2276945,23.812592
27.25,-81.75,2025,7,FLORIDA,79.85083,103.360842,270.21524,2.1660452,25.315857
27.25,-81.75,2025,8,FLORIDA,79.92992,189.113589,252.16948,2.6323822,25.825012
27.25,-81.75,2025,9,FLORIDA,83.63727,195.577212,211.68188,3.0819197,24.334503
27.25,-81.75,2025,10,FLORIDA,83.72622,129.285579,172.42056,2.918395,22.05893
27.25,-81.75,2025,11,FLORIDA,80.6698,106.82901,153.43233,3.3298151,18.798767
27.25,-81.75,2025,12,FLORIDA,82.237816,60.434874,129.22862,2.8334353,16.38681
27.25,-81.75,2026,1,FLORIDA,78.57644,31.344144,142.56238,2.9197586,18.188385
27.25,-81.75,2026,2,FLORIDA,74.86784,27.9310638,155.73592,2.3250446,20.063354
27.25,-81.75,2026,3,FLORIDA,75.61688,96.479265,213.04175,3.2351418,16.797607
27.25,-81.75,2026,4,FLORIDA,64.11468,16.1169435,253.30536,2.998783,20.782227
27.25,-81.75,2026,5,FLORIDA,68.79804,88.3437,271.78525,2.5628285,24.309174
27.25,-81.75,2026,6,FLORIDA,82.64919,243.66126,254.69508,2.150924,24.598358
27.25,-81.75,2026,7,FLORIDA,85.51172,315.24735,241.84332,2.9954743,25.031616
27.25,-81.75,2026,8,FLORIDA,86.87007,165.35385,237.64778,1.9799011,25.288696
27.25,-81.75,2026,9,FLORIDA,85.87915,142.140555,201.31465,2.8633056,24.137909
27.25,-81.75,2026,10,FLORIDA,86.793335,142.128825,165.49069,2.5704725,21.880707
27.25,-81.75,2026,11,FLORIDA,81.148605,48.508614,154.02858,2.8039043,16.365356
27.25,-81.75,2026,12,FLORIDA,83.59804,33.019731,140.62889,2.4854004,14.875061
27.25,-81.75,2027,1,FLORIDA,86.24635,145.2426,131.40598,2.9969773,18.740936
27.25,-81.75,2027,2,FLORIDA,77.78114,14.301873,187.06503,2.7508852,14.87265
27.25,-81.75,2027,3,FLORIDA,79.8151,139.462179,231.28677,3.193551,17.231201
27.25,-81.75,2027,4,FLORIDA,79.809006,92.676636,229.30305,3.8156252,20.01654
27.25,-81.75,2027,5,FLORIDA,75.08875,73.007583,248.61836,2.8176033,21.867249
27.25,-81.75,2027,6,FLORIDA,79.432556,143.449875,270.52783,2.3217225,24.7695
27.25,-81.75,2027,7,FLORIDA,80.78808,157.975761,255.94173,2.3000998,25.786682
27.25,-81.75,2027,8,FLORIDA,83.60299,287.39892,234.62932,1.650403,26.058441
27.25,-81.75,2027,9,FLORIDA,88.29848,262.526865,207.11217,2.0189881,24.653809
27.25,-81.75,2027,10,FLORIDA,85.52824,136.487802,171.59163,2.6873043,23.344208
27.25,-81.75,2027,11,FLORIDA,85.5834,104.754459,118.10847,3.6290698,20.215942
27.25,-81.75,2027,12,FLORIDA,83.36291,55.714359,127.53624,2.699579,16.539734
27.25,-81.75,2028,1,FLORIDA,82.802574,72.242454,139.65353,2.9640691,14.826416
27.25,-81.75,2028,2,FLORIDA,81.718575,107.991606,168.39342,3.1328182,16.753418
27.25,-81.75,2028,3,FLORIDA,79.92588,99.92616,194.35889,2.8854475,18.857758
27.25,-81.75,2028,4,FLORIDA,75.60126,49.208694,240.50522,2.7057416,19.80194
27.25,-81.75,2028,5,FLORIDA,67.32958,14.622426,272.5015,2.3722358,23.968475
27.25,-81.75,2028,6,FLORIDA,72.22541,196.417965,262.40454,1.930584,25.921356
27.25,-81.75,2028,7,FLORIDA,80.126785,133.450242,234.91219,2.3803475,25.61267
27.25,-81.75,2028,8,FLORIDA,85.12937,211.663815,251.84454,2.0463943,25.46878
27.25,-81.75,2028,9,FLORIDA,88.50201,267.62988,215.88145,1.9388777,24.477081
27.25,-81.75,2028,10,FLORIDA,83.16713,119.013018,174.60448,2.868584,22.22226
27.25,-81.75,2028,11,FLORIDA,84.74459,140.2179,143.67404,2.9059758,18.063324
27.25,-81.75,2028,12,FLORIDA,82.075645,58.422369,141.23958,2.8185692,16.508759
27.25,-81.75,2029,1,FLORIDA,82.041145,68.293512,145.33879,2.988071,13.692627
27.25,-81.75,2029,2,FLORIDA,81.86752,46.183512,171.59264,2.896573,16.919067
27.25,-81.75,2029,3,FLORIDA,71.718376,41.19372,246.02097,2.9374928,16.796295
27.25,-81.75,2029,4,FLORIDA,60.357647,3.1040925,278.49887,2.9614773,19.66098
27.25,-81.75,2029,5,FLORIDA,70.25363,88.549239,281.7135,2.9791424,22.795197
27.25,-81.75,2029,6,FLORIDA,83.06426,262.6281,235.75533,2.0348206,24.49472
27.25,-81.75,2029,7,FLORIDA,81.29187,126.44847,266.9324,2.2537456,25.42389
27.25,-81.75,2029,8,FLORIDA,85.983604,237.343368,234.21313,2.1714027,25.735504
27.25,-81.75,2029,9,FLORIDA,87.965,283.77762,216.92365,2.0472064,24.87149
27.25,-81.75,2029,10,FLORIDA,81.721146,70.535838,181.24312,2.6544225,22.474945
27.25,-81.75,2029,11,FLORIDA,80.52177,48.109584,150.02425,2.7680326,18.29831
27.25,-81.75,2029,12,FLORIDA,79.79532,77.686659,150.56532,2.7235985,13.676788
27.25,-81.75,2030,1,FLORIDA,81.65418,78.447762,140.91095,3.0978186,15.769287
27.25,-81.75,2030,2,FLORIDA,81.28093,109.148427,182.57684,3.3429897,16.11145
27.25,-81.75,2030,3,FLORIDA,78.00422,58.275714,176.03955,2.7407904,20.049652
27.25,-81.75,2030,4,FLORIDA,69.257935,19.772757,240.28157,2.776472,20.749939
27.25,-81.75,2030,5,FLORIDA,79.692986,155.518125,255.34741,2.2024064,22.770813
27.25,-81.75,2030,6,FLORIDA,76.59448,136.760589,250.61682,2.2338252,25.569244
27.25,-81.75,2030,7,FLORIDA,71.50648,128.03184,273.2157,2.1957207,27.286957
27.25,-81.75,2030,8,FLORIDA,83.72894,232.170981,223.6365,2.8819408,25.77298
27.25,-81.75,2030,9,FLORIDA,84.73195,197.18052,194.84654,2.9886491,24.928955
27.25,-81.75,2030,10,FLORIDA,83.602905,62.654799,181.09848,2.3447785,22.119446
27.25,-81.75,2030,11,FLORIDA,81.91872,267.424965,151.6699,2.743619,17.665863
27.25,-81.75,2030,12,FLORIDA,83.52157,92.805018,136.20479,2.787461,14.602081
31.25,-98.75,2020,1,TEXAS,51.97818,52.979247,159.61288,3.9748254,10.396057
31.25,-98.75,2020,2,TEXAS,62.481678,56.02893,175.44006,3.8222685,10.711914
31.25,-98.75,2020,3,TEXAS,50.39377,36.826458,231.22589,4.372661,12.045715
31.25,-98.75,2020,4,TEXAS,55.42471,57.820338,280.20334,4.2805953,18.276398
31.25,-98.75,2020,5,TEXAS,71.553345,79.661664,250.2408,4.9281187,22.129608
31.25,-98.75,2020,6,TEXAS,45.186573,31.533969,333.49988,4.749635,28.513824
31.25,-98.75,2020,7,TEXAS,36.209015,20.0697792,320.86493,3.849778,30.42749
31.25,-98.75,2020,8,TEXAS,47.437004,30.59262,293.1315,3.8287563,28.67984
31.25,-98.75,2020,9,TEXAS,47.156048,46.309713,244.72293,3.9375582,26.981628
31.25,-98.75,2020,10,TEXAS,56.01587,35.880354,200.22423,3.8032613,19.905457
31.25,-98.75,2020,11,TEXAS,57.455296,53.122191,154.50478,3.7094622,13.760956
31.25,-98.75,2020,12,TEXAS,66.50651,28.5374862,124.87178,3.4990456,9.327026
31.25,-98.75,2021,1,TEXAS,67.17128,50.343825,147.21283,3.9077911,8.065491
31.25,-98.75,2021,2,TEXAS,48.018555,17.9034339,199.71506,4.5654316,9.41153
31.25,-98.75,2021,3,TEXAS,53.318325,48.606051,240.95276,4.096188,14.828033
31.25,-98.75,2021,4,TEXAS,49.397346,31.598973,271.24603,4.516187,18.347229
31.25,-98.75,2021,5,TEXAS,64.932495,107.72604,271.03683,4.4486537,23.229248
31.25,-98.75,2021,6,TEXAS,59.4237,48.759264,303.92838,3.6574235,25.51001
31.25,-98.75,2021,7,TEXAS,34.659378,13.3800432,325.72266,4.060693,31.461548
31.25,-98.75,2021,8,TEXAS,41.37304,26.546373,286.2319,3.450806,30.375946
31.25,-98.75,2021,9,TEXAS,47.890682,27.079671,246.80325,4.2940626,26.983704
31.25,-98.75,2021,10,TEXAS,39.277046,8.029152,203.84862,3.6895444,21.475128
31.25,-98.75,2021,11,TEXAS,50.923992,24.2762268,156.28004,3.5730119,15.301971
31.25,-98.75,2021,12,TEXAS,64.89131,54.105771,134.07497,3.777666,8.954071
31.25,-98.75,2022,1,TEXAS,69.39329,95.299431,129.51675,3.9754758,4.928772
31.25,-98.75,2022,2,TEXAS,72.01525,95.718912,166.78525,3.9916823,11.028442
31.25,-98.75,2022,3,TEXAS,66.93159,52.136979,220.68236,4.0170236,14.729034
31.25,-98.75,2022,4,TEXAS,67.19501,95.183559,259.76996,3.3667803,16.550415
31.25,-98.75,2022,5,TEXAS,78.15125,125.90505,218.28242,3.9545934,20.532135
31.25,-98.75,2022,6,TEXAS,64.37807,40.316577,316.8325,4.4590015,24.719696
31.25,-98.75,2022,7,TEXAS,43.82613,35.56881,305.52475,3.651165,30.21054
31.25,-98.75,2022,8,TEXAS,57.561584,68.138601,281.30417,3.334007,27.554108
31.25,-98.75,2022,9,TEXAS,52.235355,25.6108761,246.5531,3.1749043,24.54364
31.25,-98.75,2022,10,TEXAS,35.014927,3.420174,211.86845,3.5384347,21.71582
31.25,-98.75,2022,11,TEXAS,52.26619,11.8654632,165.8546,3.8063197,18.14621
31.25,-98.75,2022,12,TEXAS,39.895252,1.82461482,151.25336,3.7571037,9.646576
31.25,-98.75,2023,1,TEXAS,53.26055,40.810647,146.50836,4.0487437,6.5631104
31.25,-98.75,2023,2,TEXAS,48.458775,19.464663,200.87352,4.3449616,8.908966
31.25,-98.75,2023,3,TEXAS,55.23877,76.96917,227.10387,4.2473183,18.60376
31.25,-98.75,2023,4,TEXAS,64.04372,90.9597,257.03018,4.430186,19.175873
31.25,-98.75,2023,5,TEXAS,56.311176,37.128234,295.02386,4.517171,25.202362
31.25,-98.75,2023,6,TEXAS,63.572445,85.367976,290.68814,4.4631953,25.217133
31.25,-98.75,2023,7,TEXAS,29.445766,0.61588083,330.77734,4.2997656,32.164856
31.25,-98.75,2023,8,TEXAS,37.34724,11.4324252,296.29608,3.9436347,30.958496
31.25,-98.75,2023,9,TEXAS,39.97992,26.953791,254.79651,3.4765785,28.57254
31.25,-98.75,2023,10,TEXAS,56.019817,62.155131,183.43263,3.087534,20.405304
31.25,-98.75,2023,11,TEXAS,57.048008,25.803726,160.67165,4.151725,12.141968
31.25,-98.75,2023,12,TEXAS,49.851852,15.7586682,146.117,3.8125048,8.053162
31.25,-98.75,2024,1,TEXAS,71.34272,139.34376,134.59717,3.8637183,8.067261
31.25,-98.75,2024,2,TEXAS,59.769287,33.017661,190.22441,4.1486225,9.561188
31.25,-98.75,2024,3,TEXAS,65.192955,53.531934,218.4427,4.1475406,12.000275
31.25,-98.75,2024,4,TEXAS,65.788475,73.610466,256.2917,4.5212235,18.13086
31.25,-98.75,2024,5,TEXAS,64.24637,47.151228,288.22528,4.5979548,23.458313
31.25,-98.75,2024,6,TEXAS,58.559032,58.800639,309.86948,4.363913,26.749603
31.25,-98.75,2024,7,TEXAS,40.776226,42.822051,317.27774,4.3852987,30.952423
31.25,-98.75,2024,8,TEXAS,47.20482,23.205408,286.85977,4.0415916,29.378693
31.25,-98.75,2024,9,TEXAS,54.95892,38.213238,238.58304,3.5287008,26.275543
31.25,-98.75,2024,10,TEXAS,41.895927,16.7353875,202.3763,3.4289677,21.385376
31.25,-98.75,2024,11,TEXAS,62.24833,56.54355,155.6029,3.572402,15.366333
31.25,-98.75,2024,12,TEXAS,56.449615,21.528183,142.71953,4.0530524,9.854553
31.25,-98.75,2025,1,TEXAS,34.498417,0,168.57701,4.427535,9.580627
31.25,-98.75,2025,2,TEXAS,69.795044,127.916292,158.40744,3.564624,7.092682
31.25,-98.75,2025,3,TEXAS,59.604996,64.022355,239.28522,4.0907397,13.537048
31.25,-98.75,2025,4,TEXAS,58.435604,68.960259,254.7786,4.7063417,19.153015
31.25,-98.75,2025,5,TEXAS,76.52315,136.399899,245.3114,3.7179003,19.77652
31.25,-98.75,2025,6,TEXAS,74.50427,71.701212,282.55518,3.6795127,23.394836
31.25,-98.75,2025,7,TEXAS,47.377827,33.207855,310.1384,3.2680469,28.492981
31.25,-98.75,2025,8,TEXAS,35.134773,7.921935,303.22614,3.8850107,31.461334
31.25,-98.75,2025,9,TEXAS,35.0942,19.8787488,259.41522,3.7318375,26.590302
31.25,-98.75,2025,10,TEXAS,44.671146,87.941565,194.88937,3.485855,23.68814
31.25,-98.75,2025,11,TEXAS,55.64752,32.573262,170.15002,4.4042363,11.821991
31.25,-98.75,2025,12,TEXAS,62.98746,69.823209,136.32187,3.9177997,10.038025
31.25,-98.75,2026,1,TEXAS,71.7241,55.080411,126.72405,4.0476775,9.899689
31.25,-98.75,2026,2,TEXAS,75.86093,57.646005,162.44594,3.4539793,14.842407
31.25,-98.75,2026,3,TEXAS,48.870335,12.8204916,258.89175,4.477972,13.511139
31.25,-98.75,2026,4,TEXAS,51.11644,30.046824,290.84515,4.115896,21.580048
31.25,-98.75,2026,5,TEXAS,72.36333,132.295818,250.18633,3.7989132,22.25708
31.25,-98.75,2026,6,TEXAS,58.811546,74.353194,312.0005,3.802603,26.238708
31.25,-98.75,2026,7,TEXAS,35.936672,8.4067698,323.78534,4.134686,31.432953
31.25,-98.75,2026,8,TEXAS,33.783806,8.9730558,296.0016,4.070131,32.51712
31.25,-98.75,2026,9,TEXAS,56.93425,73.243518,223.18134,3.7422228,26.434906
31.25,-98.75,2026,10,TEXAS,43.634922,2.1613047,212.68303,2.8549328,21.587341
31.25,-98.75,2026,11,TEXAS,58.80501,64.604622,153.60025,3.7968533,15.344177
31.25,-98.75,2026,12,TEXAS,57.326714,10.3668864,147.82768,3.8800545,10.623383
31.25,-98.75,2027,1,TEXAS,37.3101,0.74840358,158.1134,4.7389703,13.635742
31.25,-98.75,2027,2,TEXAS,63.423897,84.042,151.04694,4.1457787,14.998169
31.25,-98.75,2027,3,TEXAS,47.492355,11.748366,259.26587,4.573272,15.13559
31.25,-98.75,2027,4,TEXAS,44.239723,33.616401,280.98358,4.3914824,20.742615
31.25,-98.75,2027,5,TEXAS,40.62841,11.4631506,306.00937,5.4704194,26.460358
31.25,-98.75,2027,6,TEXAS,44.271755,54.51294,302.67804,3.8596387,28.878296
31.25,-98.75,2027,7,TEXAS,38.31736,21.992172,318.88956,3.9485896,30.84964
31.25,-98.75,2027,8,TEXAS,50.514683,60.573348,279.47318,3.0522559,29.78009
31.25,-98.75,2027,9,TEXAS,30.22553,3.58823688,264.63223,3.2396429,27.065186
31.25,-98.75,2027,10,TEXAS,51.86014,28.5620319,192.4746,4.4213037,23.110382
31.25,-98.75,2027,11,TEXAS,57.94393,26.2387722,157.96216,3.7469387,14.295013
31.25,-98.75,2027,12,TEXAS,56.41151,120.12009,143.38696,4.1298256,8.022949
31.25,-98.75,2028,1,TEXAS,58.14217,10.074135,161.93524,3.872241,7.335602
31.25,-98.75,2028,2,TEXAS,61.91996,136.37319,172.36685,4.4912143,9.640625
31.25,-98.75,2028,3,TEXAS,67.75761,68.135112,224.49031,3.7627742,12.9800415
31.25,-98.75,2028,4,TEXAS,71.30032,96.472764,234.56914,3.4760578,17.850677
31.25,-98.75,2028,5,TEXAS,70.558075,102.101004,267.725,4.1725264,22.154358
31.25,-98.75,2028,6,TEXAS,57.560516,66.1356,311.3699,3.1551192,25.945282
31.25,-98.75,2028,7,TEXAS,36.33059,8.5440588,319.9877,4.0813413,31.673706
31.25,-98.75,2028,8,TEXAS,37.659714,14.3403546,297.1402,3.5546288,31.274872
31.25,-98.75,2028,9,TEXAS,45.441566,42.18015,257.15674,3.5020702,26.493652
31.25,-98.75,2028,10,TEXAS,48.657036,27.36042,206.2404,4.080897,21.667145
31.25,-98.75,2028,11,TEXAS,50.932068,16.15731,156.73045,3.8782554,16.309143
31.25,-98.75,2028,12,TEXAS,54.84882,52.944552,135.44464,3.961182,10.184814
31.25,-98.75,2029,1,TEXAS,64.83943,13.2334794,156.14133,3.792713,7.8578186
31.25,-98.75,2029,2,TEXAS,63.144783,45.942729,187.77963,3.8025355,13.573334
31.25,-98.75,2029,3,TEXAS,51.38897,63.670929,231.90848,4.4308577,15.343231
31.25,-98.75,2029,4,TEXAS,44.82482,29.202237,288.98547,3.5900264,21.294342
31.25,-98.75,2029,5,TEXAS,55.069695,63.494826,272.6842,4.426297,23.628326
31.25,-98.75,2029,6,TEXAS,60.39995,69.990471,306.32065,3.4985979,24.785767
31.25,-98.75,2029,7,TEXAS,38.293415,16.8280578,323.45685,4.3444176,30.922333
31.25,-98.75,2029,8,TEXAS,42.611267,52.961523,277.8599,3.568175,30.835266
31.25,-98.75,2029,9,TEXAS,62.518044,65.766891,242.80266,3.0934563,25.985962
31.25,-98.75,2029,10,TEXAS,55.479874,66.49449,198.67581,3.5179977,19.819733
31.25,-98.75,2029,11,TEXAS,65.04075,75.89163,134.9178,3.4597292,15.524658
31.25,-98.75,2029,12,TEXAS,65.17139,14.6683626,146.83148,3.7589777,9.878723
31.25,-98.75,2030,1,TEXAS,54.930145,72.272445,151.63026,4.4039445,6.9966736
31.25,-98.75,2030,2,TEXAS,51.472897,14.031387,201.25903,4.535632,12.563263
31.25,-98.75,2030,3,TEXAS,79.80825,356.67264,138.55951,4.380739,16.206085
31.25,-98.75,2030,4,TEXAS,81.82181,288.96123,196.89926,3.7441654,16.589325
31.25,-98.75,2030,5,TEXAS,76.54502,38.962002,285.41995,3.4573956,20.561523
31.25,-98.75,2030,6,TEXAS,61.477207,32.038593,327.25412,3.7428331,25.824005
31.25,-98.75,2030,7,TEXAS,33.340996,1.2211509,329.92896,4.266542,31.492554
31.25,-98.75,2030,8,TEXAS,39.106133,18.847161,297.6863,3.374202,30.641907
31.25,-98.75,2030,9,TEXAS,47.81361,31.143612,246.8851,4.618981,27.297913
31.25,-98.75,2030,10,TEXAS,54.55697,53.778243,196.65253,4.3470182,19.66919
31.25,-98.75,2030,11,TEXAS,72.59584,87.961464,141.5195,3.3807995,13.736572
31.25,-98.75,2030,12,TEXAS,49.61612,0.70487766,150.14577,4.0794435,9.181854
31.25,-92.75,2020,1,LOUISIANA,79.10074,105.549789,135.39616,2.7827904,8.929321
31.25,-92.75,2020,2,LOUISIANA,79.65145,131.07003,149.75467,2.9942393,12.619415
31.25,-92.75,2020,3,LOUISIANA,71.49067,68.050362,217.1198,3.2414024,10.914795
31.25,-92.75,2020,4,LOUISIANA,79.22025,114.594198,241.91754,2.380665,16.398407
31.25,-92.75,2020,5,LOUISIANA,84.5552,167.715081,233.90671,2.5086634,20.80957
31.25,-92.75,2020,6,LOUISIANA,74.982994,50.718471,317.42282,2.285708,24.955505
31.25,-92.75,2020,7,LOUISIANA,57.675957,55.124748,300.14838,2.1989872,28.66748
31.25,-92.75,2020,8,LOUISIANA,64.821686,68.38371,266.57956,2.321235,28.220459
31.25,-92.75,2020,9,LOUISIANA,58.881805,62.244066,233.79852,2.4178364,26.660034
31.25,-92.75,2020,10,LOUISIANA,68.419136,45.425304,179.99213,2.5698895,19.221283
31.25,-92.75,2020,11,LOUISIANA,75.45043,49.216701,153.20992,2.5601883,12.804047
31.25,-92.75,2020,12,LOUISIANA,80.71662,105.225219,123.01936,2.7064364,8.806213
31.25,-92.75,2021,1,LOUISIANA,79.65781,138.270078,127.02369,2.9337194,8.714111
31.25,-92.75,2021,2,LOUISIANA,73.76431,75.879687,182.69998,3.0348935,9.031311
31.25,-92.75,2021,3,LOUISIANA,76.27129,68.360316,226.41325,2.7112532,14.20993
31.25,-92.75,2021,4,LOUISIANA,74.976616,99.44481,261.74805,2.7019696,15.530823
31.25,-92.75,2021,5,LOUISIANA,79.29392,94.955778,267.10342,2.6729531,22.323883
31.25,-92.75,2021,6,LOUISIANA,79.37393,135.418638,272.71,1.9838465,23.73584
31.25,-92.75,2021,7,LOUISIANA,66.09336,94.755849,301.37537,2.2375221,28.462616
31.25,-92.75,2021,8,LOUISIANA,66.07964,91.038009,273.83524,2.1795876,28.282928
31.25,-92.75,2021,9,LOUISIANA,74.734825,99.43401,220.30534,2.9127076,25.095337
31.25,-92.75,2021,10,LOUISIANA,62.038853,29.86521,197.54593,2.6335742,18.493866
31.25,-92.75,2021,11,LOUISIANA,81.49733,182.13537,121.56255,2.7108593,14.355377
31.25,-92.75,2021,12,LOUISIANA,82.753876,147.12798,122.57506,2.8045442,9.323853
31.25,-92.75,2022,1,LOUISIANA,77.98023,147.87702,122.40485,2.9656541,6.356079
31.25,-92.75,2022,2,LOUISIANA,85.70423,231.147552,138.43182,2.535182,12.692169
31.25,-92.75,2022,3,LOUISIANA,81.40944,70.611462,184.93384,2.6475768,16.381561
31.25,-92.75,2022,4,LOUISIANA,80.10612,164.118189,224.51399,2.326731,16.873596
31.25,-92.75,2022,5,LOUISIANA,87.90445,217.740885,207.54962,2.5773075,21.004364
31.25,-92.75,2022,6,LOUISIANA,82.00666,90.235212,277.34616,2.4744895,24.480347
31.25,-92.75,2022,7,LOUISIANA,80.61067,164.747328,249.50346,2.2255063,26.168915
31.25,-92.75,2022,8,LOUISIANA,78.21959,74.698455,279.37158,1.9392192,25.318481
31.25,-92.75,2022,9,LOUISIANA,61.208096,29.0281605,246.52946,1.9590425,23.981201
31.25,-92.75,2022,10,LOUISIANA,59.750393,62.881551,199.17366,2.4662201,18.616302
